perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"Acvr1",False,False,False,0.269948,1.27722
"Alb",False,False,False,0.213452,1.25687
"Arfrp1",False,False,False,0.371889,0.675975
"Atp2a2",True,True,True,1.74568,0.891662
"Atp6ap1",False,False,False,0.970673,1.52371
"B2m",False,False,False,0.338791,0.683458
"B3galt6",False,False,False,0.141546,1.05529
"Bccip",False,False,False,-0.0800371,0.898504
"Ccdc84",False,False,False,-0.00189487,0.618418
"Cct5",False,False,False,0.388561,1.38427
"Chmp4b",False,False,False,0.242432,1.08102
"Cltc",False,False,False,-0.0590743,0.716211
"Copb2",False,False,False,0.211997,0.649471
"Crnkl1",False,False,False,0.294361,1.40738
"Cul5",False,False,False,0.268466,1.01785
"Cyp2e1",False,False,False,0.0467164,1.40344
"Cyp2f2",False,False,False,0.26342,0.880776
"Ddost",False,False,False,0.205357,0.836399
"Ddx20",False,False,False,0.158403,1.06027
"Dhdds",False,False,False,0.151871,1.11621
"Dnajb9",False,False,False,0.180621,1.16708
"Dnajc17",False,False,False,-0.0121929,1.12264
"Dnm2",False,False,False,0.124805,1.01861
"Dut",False,False,False,0.0620524,1.04812
"Eftud2",False,False,False,0.133311,0.870924
"Eif2b4",False,False,False,0.492672,1.08599
"Fau",False,False,False,0.346956,1.08886
"Gja1",False,False,False,0.796444,1.39032
"Gpn1",False,False,False,0.32723,1.07781
"Gsk3b",False,False,False,0.30425,1.25475
"H2-T23",False,False,False,0.054794,1.17596
"Hnf4a",False,False,False,0.0792381,0.757118
"Hnrnpu",False,False,False,1.06439,1.31077
"Hs2st1",False,False,False,0.20065,0.546175
"Hsp90aa1",False,False,False,0.357861,1.39585
"Hspa5",False,False,False,0.170458,0.695178
"Hspa8",False,False,False,0.144636,1.1471
"Hspe1",False,False,False,0.235592,1.36617
"Hyou1",False,False,False,-0.0544866,0.757668
"Jtb",False,False,False,0.0607961,0.634616
"Kin",False,False,False,0.612058,1.1362
"Lamtor2",False,False,False,0.221761,0.832271
"Lars",False,False,False,-0.0766699,0.607388
"Lgr4",True,True,True,5.16815,3.45457
"Met",False,False,False,0.36366,0.990256
"Msto1",False,False,False,0.426572,1.46221
"Mtbp",False,False,False,0.410023,1.32282
"Myl12b",False,False,False,0.284207,1.53315
"Nars",False,False,False,0.287834,0.466598
"Nfyc",False,False,False,0.282785,1.11409
"Nifk",False,False,False,-0.0774841,0.70691
"Npc1",False,False,False,0.192179,0.919402
"Nploc4",False,False,False,0.18529,1.00243
"Nubp1",False,False,False,0.153189,1.56729
"Orc2",False,False,False,0.13472,0.943652
"Pcsk9",False,False,False,0.00744838,0.827886
"Pikfyve",False,False,False,0.188722,1.0587
"Plin2",False,False,False,0.447631,0.656112
"Pmpcb",False,False,False,0.18204,0.91584
"Polr1a",False,False,False,0.351034,0.614391
"Polr2l",False,False,False,0.0973397,0.428491
"Polr3a",False,False,False,0.432032,1.80935
"Prkar1a",False,False,False,0.893643,2.23151
"Psma1",False,False,False,0.272896,1.13652
"Psmc1",False,False,False,0.196468,0.885114
"Pten",False,False,False,0.458907,0.984964
"Qars",False,False,False,0.557027,1.13576
"Ran",False,False,False,0.341577,0.768411
"Rars",False,False,False,0.0154598,0.37678
"Rngtt",True,True,True,10.8673,7.31296
"Rpl18a",False,False,False,-0.121171,1.17961
"Rpl19",False,False,False,0.0890966,1.0857
"Rpl27",False,False,False,-0.00810436,1.19359
"Rpl27a",False,False,False,0.0673008,1.16692
"Rpl37a",False,False,False,0.0589517,1.0663
"Rpl38",False,False,False,0.17529,1.18593
"Rpl8",False,False,False,0.068449,0.86017
"Rpsa",False,False,False,0.232671,1.03283
"Rptor",False,False,False,0.00708348,0.616442
"Rrbp1",False,False,False,0.578877,1.53777
"Rrn3",False,False,False,0.410155,0.973624
"Sars",False,False,False,0.28307,1.31756
"Sbno1",False,False,False,0.558612,1.35608
"Sec23a",False,False,False,0.189446,1.18883
"Sec61a1",False,False,False,0.414547,1.8205
"Sec61b",False,False,False,0.318946,1.1196
"Sec61g",False,False,False,0.0536828,1.31146
"Serpinc1",False,False,False,0.372595,0.843589
"Sf3a2",False,False,False,0.108191,0.767108
"Sf3b6",False,False,False,0.396077,1.89009
"Slc35b1",False,False,False,0.0708688,1.12206
"Slc39a9",False,False,False,0.39688,1.11726
"Slu7",False,False,False,0.04952,0.473197
"Snip1",False,False,False,-0.086483,0.490337
"Snrpa1",False,False,False,0.314278,0.958135
"Snw1",False,False,False,0.337881,0.980145
"Srp72",False,False,False,0.358228,1.10814
"Ssu72",False,False,False,0.312774,0.603469
"Taf1a",False,False,False,0.592663,1.17865
"Tap1",False,False,False,0.493775,1.32362
"Tapbp",False,False,False,0.195131,0.908639
"Tbcb",False,False,False,0.0433763,0.563906
"Tsc1",False,True,False,0.58077,0.509657
"Tuba1a",False,False,False,0.477036,1.08451
"Ubtf",False,False,False,0.270889,1.29575
"Uqcrfs1",False,False,False,0.141801,1.40416
"Vcp",False,False,False,0.235965,0.668546
"Xbp1",False,False,False,0.166414,0.867433
"Zfp830",False,False,False,-0.0298674,0.671296
"Zw10",False,False,False,0.184883,0.632732
