perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 1000.0",False,False,False,-817.439,3808.18
"(+)-JQ1 | 10000.0",True,False,False,1658.74,10780.2
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,-1021.44,4420.96
"2-Methoxyestradiol (2-MeOE2) | 1000.0",False,False,False,3943.45,21808.2
"A-366 | 10.0",False,False,False,510.854,8095.13
"A-366 | 100.0",False,False,False,954.601,10176
"A-366 | 10000.0",False,False,False,-93.996,5811.96
"ABT-737 | 10.0",False,False,False,2494.13,17091.7
"ABT-737 | 100.0",False,False,False,-1310.39,2850.62
"ABT-737 | 1000.0",False,False,False,-2055.79,1689.71
"AC480 (BMS-599626) | 10.0",False,False,False,502.792,6420.24
"AC480 (BMS-599626) | 1000.0",False,False,False,-611.695,5441.83
"AC480 (BMS-599626) | 10000.0",False,False,False,-1845.53,3016.1
"AG-14361 | 10.0",True,False,False,-327.073,3325.4
"AG-14361 | 100.0",False,False,False,679.084,7976.73
"AG-14361 | 1000.0",False,False,False,-163.789,5238.35
"AG-14361 | 10000.0",False,False,False,2739.99,14642.2
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,675.342,11867.5
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,-1410.03,2583.41
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,-892.438,6117.41
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,-1506.49,4164.61
"AICAR (Acadesine) | 10.0",False,False,False,-1063.42,10095.3
"AICAR (Acadesine) | 100.0",False,False,False,26.093,6769.93
"AICAR (Acadesine) | 1000.0",False,False,False,54.6921,7423.6
"AICAR (Acadesine) | 10000.0",False,False,False,-412.573,5938.9
"AR-42 | 10.0",False,False,False,563.159,6126.55
"AR-42 | 100.0",False,False,False,-1272.72,5643.4
"AZ 960 | 100.0",False,False,False,-106.28,11759.8
"AZ 960 | 1000.0",False,False,False,936.265,9470.82
"AZD1480 | 10.0",False,False,False,1528.87,17686.1
"AZD1480 | 100.0",False,False,False,2517.08,20456
"Abexinostat (PCI-24781) | 10.0",True,False,False,1489.05,8142.39
"Abexinostat (PCI-24781) | 100.0",False,False,False,-1117.41,5117.92
"Alendronate sodium trihydrate | 10.0",False,False,False,-721.286,3265.94
"Alendronate sodium trihydrate | 100.0",False,False,False,293.006,7185.93
"Altretamine | 10.0",False,False,False,2999.42,15763.2
"Altretamine | 100.0",False,False,False,-935.225,4017.48
"Altretamine | 1000.0",False,False,False,-539.272,7509.68
"Altretamine | 10000.0",False,False,False,-832.702,4155.29
"Alvespimycin (17-DMAG) HCl | 10.0",False,False,False,5110.57,15538.8
