perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(+)-JQ1 | 10.0",False,False,False,9519.58,50123
"(+)-JQ1 | 100.0",False,False,False,-5745.04,58769.8
"(+)-JQ1 | 1000.0",True,False,False,-5124.31,41935.1
"(+)-JQ1 | 10000.0",False,False,False,7119.1,99751.4
"2-Methoxyestradiol (2-MeOE2) | 10.0",False,False,False,4865.19,47144.8
"2-Methoxyestradiol (2-MeOE2) | 100.0",False,False,False,4637.19,72805.4
"2-Methoxyestradiol (2-MeOE2) | 1000.0",False,False,False,5139.17,51568.4
"2-Methoxyestradiol (2-MeOE2) | 10000.0",False,False,False,-6122.85,19622.4
"A-366 | 10.0",False,False,False,-9837.14,19869
"A-366 | 100.0",False,False,False,8774.24,153328
"A-366 | 1000.0",False,False,False,112.626,54567.8
"A-366 | 10000.0",False,False,False,-539.83,36809.4
"ABT-737 | 10.0",False,False,False,21087.6,138514
"ABT-737 | 100.0",False,False,False,-9221.85,42336.4
"ABT-737 | 1000.0",False,False,False,13862.8,89295.3
"ABT-737 | 10000.0",False,False,False,-5180.81,34846.9
"AC480 (BMS-599626) | 10.0",False,False,False,-10236.8,23872.3
"AC480 (BMS-599626) | 100.0",False,False,False,-2230.73,19681.5
"AC480 (BMS-599626) | 1000.0",False,False,False,2119.64,35182.3
"AC480 (BMS-599626) | 10000.0",False,False,False,17239.6,78231.3
"AG-14361 | 10.0",False,False,False,-3365.75,40750.8
"AG-14361 | 100.0",False,False,False,-1400.15,40246.6
"AG-14361 | 1000.0",False,False,False,6234.15,68240.6
"AG-14361 | 10000.0",False,False,False,-841.995,47362
"AG-490 (Tyrphostin B42) | 10.0",False,False,False,-2940.17,39096.2
"AG-490 (Tyrphostin B42) | 100.0",False,False,False,-2646.22,17455.2
"AG-490 (Tyrphostin B42) | 1000.0",False,False,False,-12738.5,16338.1
"AG-490 (Tyrphostin B42) | 10000.0",False,False,False,5481.72,66206.4
"AICAR (Acadesine) | 10.0",False,False,False,25139.9,150694
"AICAR (Acadesine) | 100.0",False,False,False,7597.61,62873.5
"AICAR (Acadesine) | 1000.0",False,False,False,3331.14,65827.5
"AICAR (Acadesine) | 10000.0",False,False,False,7396.32,48611.3
"AMG-900 | 10.0",True,False,False,19525.9,76720.3
"AMG-900 | 100.0",True,False,False,16801.2,85798
