perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"(r)-verapamil|0.05",False,False,False,435.02,2388.85
"(r)-verapamil|0.5",True,False,False,-330.323,2969.17
"(r)-verapamil|5.0",True,False,False,1227.47,3347.24
"(s)-crizotinib|0.05",False,False,False,76.4224,3207.63
"(s)-crizotinib|0.5",True,False,False,1748.23,13579.9
"(s)-crizotinib|5.0",False,False,False,3145.89,9444.07
"18β-glycyrrhetinic acid|0.05",True,False,False,574.739,5258.53
"18β-glycyrrhetinic acid|0.5",True,False,False,1559.93,8278.21
"18β-glycyrrhetinic acid|5.0",True,False,False,525.07,3021.96
"4egi-1|0.05",True,False,False,2516.13,10374.2
"4egi-1|0.5",True,False,False,5387.44,13732.8
"4egi-1|5.0",True,False,False,-548.51,1946.21
"5-azacytidine|0.05",False,False,False,531.47,7208.09
"5-azacytidine|0.5",True,False,False,288.113,3562.74
"5-azacytidine|5.0",True,False,False,2037.75,6802.2
"5-fluorouracil|0.05",False,False,False,399.864,4012.3
"5-fluorouracil|0.5",True,False,False,163.636,1304.68
"5-fluorouracil|5.0",True,False,False,5490.63,16412.6
"8-hydroxyquinoline|0.05",True,False,False,977.273,5682.78
"8-hydroxyquinoline|0.5",True,False,False,253.664,6922.88
"8-hydroxyquinoline|5.0",True,False,False,2502.73,8130.32
"9-ing-41|0.05",True,False,False,1723.68,5266.66
"9-ing-41|0.5",True,False,False,-928.273,1420.23
"9-ing-41|5.0",False,False,False,1166.58,4514
"abemaciclib|0.05",True,False,False,798.046,3811.67
"abemaciclib|0.5",False,False,False,4395.51,10378.3
"abemaciclib|5.0",True,False,False,1056.26,4913.37
"abiraterone acetate|0.05",True,False,False,-248.705,1965.59
"abiraterone acetate|0.5",True,False,False,2211.58,7323.71
"abiraterone acetate|5.0",False,False,False,1385.59,3857.91
"acetazolamide|0.05",False,False,False,3184.33,13181.3
"acetazolamide|0.5",True,False,False,3271.75,12679.5
"acetazolamide|5.0",True,False,False,1473.55,5000.82
"acetohexamide|0.05",True,False,False,1539.55,7202.29
"acetohexamide|0.5",True,False,False,196.331,5477.65
"acetohexamide|5.0",True,False,False,813.772,3340.24
"adagrasib|0.05",False,False,False,3702.39,14171.2
"adagrasib|0.5",True,False,False,13176.6,46388
"adagrasib|5.0",True,False,False,108.806,3727.67
"adenine|0.05",True,False,False,572.758,6135.83
"adenine|0.5",True,False,False,-102.31,3463.62
"adenine|5.0",False,False,False,2753.96,4447.51
"adenosine|0.05",False,False,False,1756.78,5311.96
"adenosine|0.5",False,False,False,1583.13,3819.19
"adenosine|5.0",False,False,False,1605.5,4717.12
"afatinib|0.05",True,False,False,1722.21,10362.6
"afatinib|0.5",False,False,False,4364.58,15203.9
"afatinib|5.0",False,False,False,1454.98,3692.51
"aliskiren|0.05",True,False,False,1706.5,3982.7
"aliskiren|0.5",True,False,False,698.858,4573.74
"aliskiren|5.0",True,False,False,3456.8,12990.4
"allantoin|0.05",True,False,False,209.016,4325.93
"allantoin|0.5",True,False,False,-648.156,2496.48
"allantoin|5.0",True,False,False,105.756,2240.58
"allopurinol|0.05",False,False,False,1862.1,10260.3
"allopurinol|0.5",True,False,False,2904.77,9263.11
"allopurinol|5.0",True,False,False,2447.75,8462.94
"almonertinib|0.05",True,False,False,574.611,3086.04
"almonertinib|0.5",False,False,False,1824.74,4545.42
"almonertinib|5.0",False,False,False,1435.57,8618.97
"alpelisib|0.05",True,False,False,408.651,2850.22
"alpelisib|0.5",True,False,False,2750.88,9665.46
"alpelisib|5.0",True,False,False,-346.448,2509.73
"altretamine|0.05",True,False,False,1742.4,8364.68
