,split1,split2,split3,split5
Biolord,0.31154,0.72517,0.87936,0.39845
CellFlow,0.29861,0.29354,,0.33486
GBoost-esm+theta,0.0,0.0,0.0,0.0
GBoost-esm,0.0,0.0,0.0,0.0
GBoost-theta,0.0,0.0,0.0,0.0
Gene-mean,0.0,0.0,0.0,0.0
KNN-esm+theta,0.0,0.0,0.0,0.0
KNN-esm,0.0,0.0,0.0,0.0
KNN-theta,0.0,0.0,0.0,0.0
Lasso-esm+theta,0.08925,0.44933,0.31357,0.14339
Lasso-esm,0.03359,0.08445,0.09108,0.02288
Lasso-theta,0.06825,0.31714,0.25429,0.13906
MLP-esm+theta,0.08684,0.18469,0.22972,0.10943
MLP-esm,0.10159,0.19707,0.15818,0.07427
MLP-theta,0.10915,0.22605,0.30631,0.11578
PerturbNet,0.50659,0.69538,,0.51457
RF-esm+theta,0.0,0.0,0.0,0.0
RF-esm,0.0,0.0,0.0,0.0
RF-theta,0.0,0.0,0.0,0.0
Ridge-esm+theta,0.0,0.0,0.0,0.0
Ridge-esm,0.0,0.0,0.0,0.0
Ridge-theta,0.0,0.0,0.0,0.0
scGen,0.22959,0.34659,0.78455,0.28967
