method,full_pearson,residual_pearson,n
Lasso-esm,0.685,-0.078,305
Ridge-esm,0.682,-0.047,305
Gene-mean,0.68,-0.078,308
Lasso-theta,0.68,-0.039,308
Lasso-esm+theta,0.677,-0.052,305
RF-esm+theta,0.675,-0.025,305
RF-esm,0.675,-0.02,305
MLP-esm,0.67,-0.045,305
RF-theta,0.666,0.007,308
MLP-esm+theta,0.661,-0.028,305
Ridge-theta,0.65,0.031,308
Ridge-esm+theta,0.65,0.021,305
MLP-theta,0.649,0.006,308
GBoost-esm+theta,0.627,0.002,305
GBoost-theta,0.623,0.022,308
GBoost-esm,0.62,-0.002,305
KNN-esm+theta,0.607,0.011,305
KNN-theta,0.603,0.015,308
KNN-esm,0.601,-0.002,305
scGen,0.213,0.027,308
scVIDR,0.187,0.011,282
CellFlow,0.15,-0.025,303
Biolord,0.144,0.027,308
PerturbNet,0.135,0.007,303
