method,split,pds_mean,pds_clust_lo,pds_clust_hi,pds_overlaps_0p5,pearson_mean,pearson_clust_lo,pearson_excludes_0
Biolord,split1,0.512,0.445,0.573,True,0.157,0.066,True
CellFlow,split1,0.532,0.477,0.586,True,0.095,-0.001,False
GBoost-esm,split1,0.518,0.456,0.581,True,0.66,0.627,True
GBoost-esm+theta,split1,0.526,0.465,0.587,True,0.683,0.658,True
GBoost-theta,split1,0.516,0.458,0.576,True,0.668,0.634,True
Gene-mean,split1,0.469,0.407,0.534,True,0.703,0.667,True
KNN-esm,split1,0.499,0.44,0.566,True,0.618,0.593,True
KNN-esm+theta,split1,0.519,0.459,0.58,True,0.626,0.595,True
KNN-theta,split1,0.513,0.455,0.573,True,0.625,0.588,True
Lasso-esm,split1,0.476,0.414,0.545,True,0.711,0.681,True
Lasso-esm+theta,split1,0.477,0.415,0.542,True,0.711,0.685,True
Lasso-theta,split1,0.471,0.407,0.538,True,0.705,0.673,True
MLP-esm,split1,0.471,0.405,0.537,True,0.695,0.668,True
MLP-esm+theta,split1,0.47,0.406,0.532,True,0.694,0.666,True
MLP-theta,split1,0.48,0.42,0.544,True,0.676,0.643,True
PerturbNet,split1,0.565,0.502,0.625,False,0.166,0.117,True
RF-esm,split1,0.482,0.415,0.551,True,0.711,0.684,True
RF-esm+theta,split1,0.482,0.417,0.551,True,0.71,0.683,True
RF-theta,split1,0.497,0.432,0.564,True,0.69,0.655,True
Ridge-esm,split1,0.48,0.414,0.546,True,0.709,0.682,True
Ridge-esm+theta,split1,0.489,0.423,0.554,True,0.699,0.674,True
Ridge-theta,split1,0.479,0.418,0.544,True,0.695,0.664,True
scGen,split1,0.513,0.453,0.572,True,0.223,0.136,True
scVIDR,split1,0.52,0.463,0.574,True,0.152,0.08,True
