n_sub,space,gene,frac_detectable,frac_cfm_beats,n_variants
50,full,TP53,0.45918367346938777,0.0,98
50,full,KRAS,0.6956521739130435,0.0,92
50,full,GATA1,0.5668016194331984,0.4534412955465587,247
50,full,JAK1,1.0,0.5714285714285714,14
50,pca50,TP53,0.5102040816326531,0.0,98
50,pca50,KRAS,0.5652173913043478,0.0,92
50,pca50,GATA1,0.5425101214574899,0.5384615384615384,247
50,pca50,JAK1,1.0,0.7142857142857143,14
100,full,TP53,0.7244897959183674,0.0,98
100,full,KRAS,0.7065217391304348,0.0,92
100,full,GATA1,0.5454545454545454,0.40669856459330145,209
100,full,JAK1,1.0,0.6666666666666666,9
100,pca50,TP53,0.6428571428571429,0.0,98
100,pca50,KRAS,0.5978260869565217,0.0,92
100,pca50,GATA1,0.507177033492823,0.4258373205741627,209
100,pca50,JAK1,1.0,0.8888888888888888,9
150,full,TP53,0.896551724137931,0.0,87
150,full,KRAS,0.7252747252747253,0.0,91
150,full,GATA1,0.5732484076433121,0.3057324840764331,157
150,full,JAK1,1.0,0.6666666666666666,6
150,pca50,TP53,0.6896551724137931,0.0,87
150,pca50,KRAS,0.6043956043956044,0.0,91
150,pca50,GATA1,0.5732484076433121,0.3184713375796178,157
150,pca50,JAK1,1.0,0.8333333333333334,6
300,full,KRAS,0.8979591836734694,0.0,49
300,full,GATA1,0.5263157894736842,0.14035087719298245,57
300,full,JAK1,1.0,0.0,1
300,pca50,KRAS,0.7346938775510204,0.0,49
300,pca50,GATA1,0.5614035087719298,0.14035087719298245,57
300,pca50,JAK1,1.0,1.0,1
